iter	MAE
345	228.8731351
346	228.8390119
347	228.7355804
348	228.639727
349	228.5099444
350	228.4311478
351	228.3720812
352	228.2957179
353	228.188849
354	228.1420623
355	228.0385468
356	227.9778765
357	227.8916707
358	227.8474673
359	227.7493788
360	227.6507155
361	227.5758948
362	227.499272
363	227.4409165
364	227.3610555
365	227.2904192
366	227.2524316
367	227.1403213
368	227.080564
369	226.9770626
370	226.8631745
371	226.7379873
372	226.6521982
373	226.5715408
374	226.5038285
375	226.4449347
376	226.4079079
377	226.3416937
378	226.2858093
379	226.1908492
380	226.1588004
381	226.1254997
382	226.0818042
383	225.9792906
384	225.9301024
385	225.8338724
386	225.7286664
387	225.6664911
388	225.5965455
389	225.5256529
390	225.4966282
391	225.4349834
392	225.3753283
393	225.238042
394	225.1972995
395	225.1373887
396	225.0750292
397	225.0291672
398	224.8586177
399	224.8337355
400	224.7494793
401	224.6955298
402	224.6322203
403	224.5315447
404	224.4850037
405	224.3896785
406	224.3368566
407	224.2482212
408	224.1378602
409	224.0859174
410	224.0072466
411	223.9295484
412	223.8035415
413	223.7396464
414	223.6766478
415	223.5926677
416	223.5097317
417	223.4735244
418	223.4020273
419	223.3678051
420	223.2886906
421	223.216966
422	223.1802507
423	223.0930279
424	223.0384485
425	222.9570298
426	222.8984359
427	222.8392016
428	222.7898813
429	222.7619463
430	222.6519889
431	222.5834184
432	222.5425464
433	222.4207786
434	222.3449767
435	222.2759324
436	222.2199188
437	222.1479812
438	222.1215217
439	222.0427387
440	222.0090904
441	221.9283164
442	221.8674367
443	221.7740858
444	221.7311892
445	221.6758595
446	221.6505756
447	221.6102965
448	221.5339533
449	221.5049425
450	221.4554546
451	221.411223
452	221.3639594
453	221.2957661
454	221.1953769
455	221.0979954
456	221.0589149
457	221.0068022
458	220.9520797
459	220.9023992
460	220.7987273
461	220.6752892
462	220.6132213
463	220.557988
464	220.5014933
465	220.4566398
466	220.4196522
467	220.3902103
468	220.3310633
469	220.2670138
470	220.2239824
471	220.1792488
472	220.0857883
473	220.0483142
474	220.0033529
475	219.9570974
476	219.9050058
477	219.8566544
478	219.7986991
479	219.6889544
480	219.6315596
481	219.5894089
482	219.5464071
483	219.5158703
484	219.4853779
485	219.4484774
486	219.3902496
487	219.3035628
488	219.2660811
489	219.1826896
490	219.1141077
491	219.0244331
492	218.9827414
493	218.9337595
494	218.8849042
495	218.8012932
496	218.7074963
497	218.6288614
498	218.5957681
499	218.5717332
500	218.5434518
501	218.4640061
502	218.4356157
503	218.383443
504	218.3030344
505	218.2265515
506	218.1606389
507	218.1045194
