iter	MAE
0	997.3875887
1	958.4430833
2	921.4128543
3	887.1021378
4	855.0250088
5	824.4553743
6	796.0686783
7	769.1119582
8	744.0705433
9	722.0585965
10	701.2179736
11	680.1833055
12	661.2785764
13	643.4021268
14	626.8578577
15	606.433752
16	587.1461741
17	570.0645024
18	555.1468372
19	539.5192507
20	525.9980555
21	511.5415102
22	499.6379397
23	487.3676207
24	476.2963538
25	464.9204321
26	454.8252215
27	445.0568633
28	436.1028463
29	427.3791755
30	419.6212291
31	412.0212656
32	404.7197683
33	397.9975855
34	391.5935541
35	385.2415889
36	379.5840798
37	373.9881319
38	368.281883
39	363.9463668
40	359.4460236
41	354.9071181
42	351.3089502
43	346.8165683
44	342.7984609
45	339.2193527
46	335.7953605
47	332.4502938
48	329.4207396
49	326.7814091
50	324.2888462
51	321.7035139
52	319.6993407
53	317.4548379
54	315.4940729
55	313.479306
56	311.6211081
57	309.8807345
58	308.0645596
59	306.4311042
60	304.8317555
61	303.5348394
62	302.1730378
63	300.7361899
64	299.1417959
65	297.968639
66	296.852092
67	296.0495615
68	295.075745
69	294.1348367
70	293.1178886
71	292.1326288
72	290.9047904
73	289.980651
74	289.1028275
75	288.1644335
76	287.5977414
77	286.7059815
78	286.0520858
79	285.1287532
80	284.4095812
81	283.690764
82	283.1663534
83	282.5633314
84	281.9789678
85	281.4212175
86	280.2646717
87	279.8692604
88	279.4506683
89	278.95061
90	278.5272193
91	277.7912243
92	277.3155017
93	276.884947
94	276.2683911
95	275.8691317
96	275.2796805
97	274.8522232
98	274.4928714
99	274.2233894
100	273.7118983
101	273.0045123
102	272.6997927
103	272.0598905
104	271.8049148
105	271.2967056
106	270.9042075
107	270.3527661
108	269.9164565
109	269.5623798
110	269.2849812
111	268.8587255
112	268.2538586
113	267.7747687
114	267.5248818
115	267.1536147
116	266.7268971
117	266.429577
118	265.951253
119	265.5624551
120	265.2987728
121	264.8042065
122	264.3594648
123	263.8430261
124	263.1833343
125	262.7683414
126	262.4905847
127	262.1781823
128	261.8992358
129	261.5850219
130	261.2013125
131	260.8716541
132	260.5676035
133	260.338326
134	259.8557021
135	259.417504
136	258.953644
137	258.8011093
138	258.4796306
139	258.1491596
140	257.9817405
141	257.7810621
142	257.4740472
143	257.1392925
144	256.8772656
145	256.6391098
146	256.3768833
147	256.0955926
148	255.9258973
149	255.7420067
150	255.594765
151	255.4164578
152	255.1362013
153	254.9552522
154	254.7617491
155	254.4776502
156	254.2747761
157	254.021181
158	253.8191974
159	253.6094986
160	253.5184349
161	253.1374396
162	252.9917615
163	252.702295
164	252.543648
165	252.3392659
166	252.1358038
167	252.0093004
168	251.7929054
169	251.5936942
170	251.44206
171	251.2016643
172	250.9320202
173	250.6362304
174	250.3906321
175	250.1835035
176	249.98365
177	249.8344722
178	249.5765378
179	249.3413239
180	249.2145567
181	249.1241895
182	248.9759148
183	248.8422146
184	248.6677539
185	248.5038961
186	248.2905706
187	248.0721392
188	247.9270022
189	247.7065802
190	247.5986631
191	247.399996
192	247.241452
193	247.1509913
194	247.0066143
195	246.8912502
196	246.7468617
197	246.5543559
198	246.3769703
199	246.2459695
200	246.0721538
201	245.9816408
202	245.7822986
203	245.6088939
204	245.5146122
205	245.294026
206	245.2223323
207	245.0458793
208	244.8456908
209	244.6696932
210	244.5730184
211	244.4201811
212	244.2448557
213	244.1296592
214	244.0153791
215	243.8618581
216	243.6278685
217	243.5836411
218	243.3331055
219	243.227699
220	243.1049807
221	242.9828443
222	242.8552393
223	242.5336698
224	242.3217327
225	242.1637014
226	242.0998318
227	241.9676529
228	241.8784317
229	241.7407988
230	241.5933053
231	241.4157798
232	241.3250229
233	241.2208026
234	241.11498
235	241.0193517
236	240.7086555
237	240.5794453
238	240.4714057
239	240.3789183
240	240.2253176
241	240.1480235
242	239.9432378
243	239.8869328
244	239.6712107
245	239.5118854
246	239.3472867
247	239.2201903
248	239.1446367
249	239.0050934
250	238.8383304
251	238.6985927
252	238.4805535
253	238.3992481
254	238.2810981
255	238.200794
256	238.1373216
257	238.012094
258	237.8791726
259	237.7753334
260	237.6091269
261	237.5166716
262	237.3935398
263	237.2870245
264	237.1677116
265	237.0603089
266	236.9356432
267	236.8509933
268	236.6580183
269	236.4343682
270	236.3665175
271	236.2013507
272	236.0674013
273	236.0010574
274	235.8849882
275	235.7717674
276	235.6386973
277	235.5380594
278	235.3981125
279	235.2714255
280	235.0558874
281	234.9268841
282	234.7958
283	234.5764219
284	234.5373084
285	234.3928282
286	234.2470221
287	234.0567779
288	233.9760744
289	233.8827963
290	233.7639833
291	233.6915402
292	233.607376
293	233.5232057
294	233.4696575
295	233.3796354
296	233.26639
297	233.2172363
298	233.1643458
299	233.0726045
300	232.9713847
301	232.9362398
302	232.8772425
303	232.7068796
304	232.63903
305	232.5078208
306	232.4171794
307	232.2866056
308	232.1667976
309	232.0669589
310	231.937214
311	231.8225637
312	231.7872885
313	231.712083
314	231.6001569
315	231.5416102
316	231.4506226
317	231.3522789
318	231.2698777
319	231.2001996
320	231.1704308
321	231.098014
322	230.9402433
323	230.9057775
324	230.8015009
325	230.6231045
326	230.5758028
327	230.4958782
328	230.4114197
329	230.3324527
330	230.2160028
331	230.1619771
332	230.0928681
333	230.0351292
334	229.9566979
335	229.7933619
336	229.6764806
337	229.5738958
338	229.5102551
339	229.3961457
340	229.3407248
341	229.278533
342	229.1909971
343	229.0487966
344	228.9928085
